Tên sản phẩm,Giá (VND),Hãng,Nhà cung cấp
iPhone 15 Pro Max 256GB,29990000,Apple,Thế Giới Di Động
iPhone 15 128GB,19990000,Apple,FPT Shop
iPhone 14 Pro Max 128GB,26490000,Apple,CellphoneS
iPhone 13 128GB,13790000,Apple,Viettel Store
Samsung Galaxy S24 Ultra,28990000,Samsung,Thế Giới Di Động
Samsung Galaxy S24 Plus,22990000,Samsung,FPT Shop
Samsung Galaxy A55 5G,11490000,Samsung,CellphoneS
Samsung Galaxy Z Fold5,32990000,Samsung,Viettel Store
Oppo Reno11 F 5G,8990000,Oppo,Thế Giới Di Động
Oppo Find N3 Flip,22990000,Oppo,FPT Shop
Oppo A78,6490000,Oppo,CellphoneS
Xiaomi 14 Ultra,29990000,Xiaomi,Thế Giới Di Động
Xiaomi Redmi Note 13 Pro,6990000,Xiaomi,FPT Shop
Xiaomi Poco X6 Pro,9490000,Xiaomi,CellphoneS
Vivo V30 5G,12490000,Vivo,Thế Giới Di Động
Vivo Y100,6690000,Vivo,Viettel Store
Realme C67,5290000,Realme,FPT Shop
Realme 11,6290000,Realme,CellphoneS
Asus ROG Phone 8,24990000,Asus,CellphoneS
Sony Xperia 1 V,27990000,Sony,Sony Store Việt Nam
